1816.HK,1133.HK,0914.HK,2600.HK,0358.HK,0390.HK,1186.HK,1800.HK,0688.HK,3333.HK,0960.HK,1813.HK,3900.HK,2007.HK,3383.HK,0315.HK,0762.HK,0728.HK,3618.HK,1288.HK,0998.HK,3328.HK,1988.HK,3988.HK,0939.HK,1398.HK,3968.HK,2318.HK,1336.HK,1339.HK,2601.HK,2328.HK,0966.HK,2628.HK,1299.HK,0257.HK,0371.HK,
13.43832649,23.39615069,20.0498513,416.9021965,138.7494575,11.58666597,10.18697973,9.266948617,6.125224505,23.81012367,7.013336926,3.765455665,22.90827649,10.86150817,14.63890318,14.16317041,50.10564506,12.73038225,5.540598515,5.783738599,5.410981456,6.007854595,6.232118551,6.197667588,6.09328351,5.792358795,7.595497005,10.65645038,21.32590328,8.337264151,18.60994338,8.910458834,20.17060793,44.64807302,28.85755865,19.50895301,16.97861378,
12.85066951,22.95477531,20.32604516,415.8765611,141.9679669,11.49872796,10.28455841,9.475401293,6.267973381,23.62219567,7.053644444,3.759507014,23.16365397,10.74491815,14.25578189,14.61746078,50.76108518,13.03767192,5.371656925,5.347974258,5.293179778,5.825822549,6.108133348,5.882289651,5.684715849,5.576796896,7.376979191,10.55522321,21.48396418,8.35732289,18.78248934,8.975537819,20.49454703,43.65041855,27.83912723,19.31347252,17.53732502,
12.20892368,24.59057043,19.41761126,406.0239924,136.161983,11.23054015,9.810389879,8.668784662,5.943544117,22.15230851,6.514768765,3.340833021,21.35661236,8.955130316,13.170368,14.40367708,49.17575688,12.63474616,5.126639654,5.194177925,5.08286008,5.570287766,5.812867057,5.495023896,5.530577738,5.383604581,6.98929951,9.941238422,19.71410187,7.874654625,17.37797086,8.480371964,18.48612461,39.34418713,27.75182223,18.35561811,17.13381134,
12.39658922,24.25492348,19.10538136,407.6573363,138.6356194,11.33037251,9.880140973,8.756450143,5.956521288,22.18609538,6.571561191,3.360932649,21.38918563,9.091090414,13.3834866,14.29678523,49.30423543,12.75773822,5.091582361,5.234211854,5.16103599,5.647536227,5.960676392,5.566301005,5.577478386,5.483591282,7.138356347,10.1720172,20.11770832,7.912693706,17.75575887,8.595109621,18.48612461,39.68039282,28.45337325,18.49245445,16.7923767,
12.33610447,23.00336763,18.41551459,349.7379005,123.556446,11.01240666,9.602979784,8.74421251,5.78781807,21.48429884,6.358576766,3.389804287,21.11515746,9.047289403,13.15387287,14.64418375,47.09595525,12.64977497,4.993435846,5.216406794,5.169363068,5.616187568,5.80589167,5.517278877,5.565995622,5.40147639,6.888389232,10.2700399,20.16430932,7.884021393,17.52633811,8.475920765,17.96782205,39.39098638,27.9591272,18.35561811,16.91653475,
12.38620519,23.03436763,17.46094844,347.0868933,121.5770818,11.00732453,9.586988157,8.546222112,5.969498458,21.73559542,6.325612682,3.365921201,20.79899958,8.838518819,13.30416982,14.37695412,47.87764582,12.87466257,5.024474773,5.253707896,5.210553386,5.708005335,5.989851372,5.58703399,5.665818127,5.492501518,7.018721456,10.29901913,20.51400971,7.994417473,17.98216317,8.773099137,17.81665047,39.82819169,27.34959891,17.76917664,16.04742838,
12.36250912,22.09431843,16.62828979,336.7857837,117.754822,10.87019662,9.42874397,8.512810007,5.54125183,20.76553028,6.01238071,3.299391371,21.19025491,8.615907155,13.11298495,14.29678523,49.61977952,12.90897713,4.940776894,5.26771049,5.183941419,5.673795452,5.907933078,5.570275697,5.642207565,5.460959091,6.824839322,10.1350016,20.00479179,8.094310358,17.77297704,8.92820957,17.68707483,39.10044907,26.40378536,16.98725467,15.55079616,
12.12534931,22.74463638,16.1932978,327.8342421,112.5880128,10.66128176,9.206648182,8.385682903,5.333617101,19.93716039,5.822452088,3.334798502,21.17049388,8.937292537,12.8383189,13.92266375,48.78386257,12.50447529,4.927262343,5.158173458,5.010736528,5.566589137,5.818324149,5.464582588,5.799884691,5.389211891,6.689153429,9.943277605,19.1920904,8.046505705,17.454075,8.87433877,17.27675197,37.57640115,25.78926957,17.18273516,16.01638886,
11.94813424,21.41366232,16.26128463,318.4423845,110.8634121,10.35491588,9.008069187,7.98653962,5.294685589,19.55512772,5.69512493,3.219378168,20.72109037,8.808990796,12.8963768,13.76232597,48.48762509,12.42792395,4.762260073,5.074336961,4.886139565,5.414833316,5.632809591,5.318749072,5.456918743,5.200975293,6.523745905,9.835472004,18.83152998,7.910765955,17.15447171,8.737399105,16.88802505,37.27729016,25.89247091,16.10759246,15.24040103,
12.416271,21.87609021,17.04613235,329.0253817,118.4751287,11.10137712,9.395909355,8.258252007,5.437434465,20.81453641,5.979326008,3.389568996,21.34986287,8.880011911,13.36512176,14.0295556,49.07884298,12.68554426,5.016436446,5.160787494,5.084458263,5.59919309,5.828294775,5.499138835,5.394585061,5.299178401,6.854519075,10.37137647,19.5254426,8.234747152,18.3990103,9.055236785,17.96782205,38.15379213,26.13299291,16.4008132,15.45767762,
13.06828144,22.85300722,17.46546584,357.3578244,127.8130527,11.10981185,9.662810466,8.445665096,5.839726753,22.02836691,6.009710681,3.359260041,22.34544581,9.18870754,13.85671229,14.27006227,52.07772589,13.08626287,5.273296772,5.303426621,5.211901433,5.975727357,6.277370117,5.683199428,5.676938614,5.586063766,7.181424615,10.77283605,21.081857,8.519131873,19.33342192,9.53463539,18.74527589,41.04012099,25.74352817,16.71358199,16.85445572,
